organizer,country,phone,email,webSite
Tarsus Group Plc,Royaume-Uni,+44 (0)20 8846 2700,mailto:info@tarsus.co.uk,http://www.tarsus.com/
Flanders Expo,Belgique,+32 (0)9 241 92 11,mailto:info@flandersexpo.be,http://www.flandersexpo.be/
Boekenfestijn,Pays-Bas,+31 (0)30 604 74 00,mailto:info@boekenfestijn.com,http://www.boekenfestijn.com/
Artexis Group,Belgique,+32 (0)9 241 92 11,mailto:info@artexis.com,http://www.artexis.be/
Flanders Expo,Belgique,+32 (0)9 241 92 11,mailto:info@flandersexpo.be,http://www.flandersexpo.be/
B.A.A.V.,Belgique,+32 51 226060,mailto:mieke.glorieux@busworld.org,http://www.busworld.org/
Conceptum!,Belgique,+32 (0)2.741.61.61/62/69,mailto:info@conceptum.eu,http://www.conceptum.eu/
Charleroi Expo Congrès,Belgique,+32 (0)71 20 99 61,mailto:contact@charleroiexpo.be,http://www.charleroiexpo.be/
Flanders Expo,Belgique,+32 (0)9 241 92 11,mailto:info@flandersexpo.be,http://www.flandersexpo.be/
Flanders Expo,Belgique,+32 (0)9 241 92 11,mailto:info@flandersexpo.be,http://www.flandersexpo.be/
Conceptum!,Belgique,+32 (0)2.741.61.61/62/69,mailto:info@conceptum.eu,http://www.conceptum.eu/
CDC Events,Belgique,,mailto:info@babydays.be,http://www.babydays.be/
AP Events,Belgique,+32 2 468 55 43,mailto:info@apevents.eu,http://www.votremariage.net/
VDK (Vlaamse Diergeneeskundige Kring V.Z.W.),Belgique,+32 (0)9 264 75 03,mailto:expovet@gmail.com,http://www.fkserv.ugent.be/vdk/
Asbl Orga Expo,Belgique,+32 069 25 71 11,mailto:tournai.expo@skynet.be,http://www.tournai-expo.be/
Wellfairs GmbH,Allemagne,+49 2131 66399 02,mailto:info@wellfairs.de,http://wellfairs.de/en.html
Stoffen Spektakel,Pays-Bas,+31 (0) 6-45406000,mailto:info@stoffenspektakel.nl,http://www.stoffenspektakel.nl/
CDC Events,Belgique,,mailto:info@babydays.be,http://www.babydays.be/
Bois & Habitat a.s.b.l.,Belgique,+32.(0) 81 32 19 20,mailto:info@bois-habitat.com,http://www.bois-habitat.com/
BTExpo S.A.,Belgique,+32 2 543 44 55,mailto:office@btexpo.com,http://www.btexpo.com/
Flanders Expo,Belgique,+32 (0)9 241 92 11,mailto:info@flandersexpo.be,http://www.flandersexpo.be/
Stoffen Spektakel,Pays-Bas,+31 (0) 6-45406000,mailto:info@stoffenspektakel.nl,http://www.stoffenspektakel.nl/
Charleroi Expo Congrès,Belgique,+32 (0)71 20 99 61,mailto:contact@charleroiexpo.be,http://www.charleroiexpo.be/
Amsterdam RAI Exhibitions,Pays-Bas,+31 (0) 20 549 12 12,mailto:info@rai.nl,http://www.rai.nl/en
AP Events,Belgique,+32 2 468 55 43,mailto:info@apevents.eu,http://www.votremariage.net/
Flanders Expo,Belgique,+32 (0)9 241 92 11,mailto:info@flandersexpo.be,http://www.flandersexpo.be/
FISA SA,Belgique,+32 2 663 14 00,mailto:info@fisa.be,http://www.fisa.be/
Francisco Martin S.N.C.,Belgique,+32 486 799 361,mailto:francisco@zen-topia.com,http://www.zen-topia.com/fr
People & Places sprl,Belgique,+32 2 423 28 80,mailto:info@people.be,http://www.saloneducation.be/
Artexis Group,Belgique,+32 (0)9 241 92 11,mailto:info@artexis.com,http://www.artexis.be/
Mapcom - Batihome sprl,Belgique,+32 (0) 4.223.17.76,mailto:info@mapcom.be,http://www.mapcom.be/
AP Events,Belgique,+32 2 468 55 43,mailto:info@apevents.eu,http://www.votremariage.net/
Art3f,France,+33 (0)3 89 59 02 40,mailto:,http://www.art3f.com/
CDC Events,Belgique,,mailto:info@babydays.be,http://www.babydays.be/
"Association Mon's livre",Belgique,+32 (0) 65 31 49 63,mailto:info@monslivre.be,http://www.monslivre.be/
AP Events,Belgique,+32 2 468 55 43,mailto:info@apevents.eu,http://www.votremariage.net/
Limaco,Belgique,+32 (0)9 221 65 25,mailto:info@polyclose.be,http://www.polyclose.be/eng/Default.aspx?
Artexis Group,Belgique,+32 (0)9 241 92 11,mailto:info@artexis.com,http://www.artexis.be/
S.G.E.M.V. asbl,Belgique,+32 498 57 77 02,mailto:president@sgemv.be,http://www.sgemv.be/
Studycentral Ltd,Royaume-Uni,+44 (0)1743 355 580,mailto:info@universityfairs.com,http://www.universityfairs.com/
Studycentral Ltd,Royaume-Uni,+44 (0)1743 355 580,mailto:info@universityfairs.com,http://www.universityfairs.com/
"Febiac (Fédération Belge de l'Industrie de l'Automoboile et du Cycle)",Belgique,+32 (0)2 778.64.00,mailto:info@febiac.be,http://www.febiac.be/
Conceptum!,Belgique,+32 (0)2.741.61.61/62/69,mailto:info@conceptum.eu,http://www.conceptum.eu/
Fedagrim,Belgique,+32-2-262 06 00,mailto:info@fedagrim.be,http://www.fedagrim.be/
Charleroi Expo Congrès,Belgique,+32 (0)71 20 99 61,mailto:contact@charleroiexpo.be,http://www.charleroiexpo.be/
Foire du Livre asbl,Belgique,+32 (0)2 290 44 31,mailto:info@flb.be,http://flb.be/
CDC Events,Belgique,,mailto:info@babydays.be,http://www.babydays.be/
Flanders Expo,Belgique,+32 (0)9 241 92 11,mailto:info@flandersexpo.be,http://www.flandersexpo.be/
Event International,France,+33 1 45 03 21 26,mailto:contact@salonduchocolat.fr,http://www.eventinternational.com/
Flanders Expo,Belgique,+32 (0)9 241 92 11,mailto:info@flandersexpo.be,http://www.flandersexpo.be/
CDC Events,Belgique,,mailto:info@babydays.be,http://www.babydays.be/
FISA SA,Belgique,+32 2 663 14 00,mailto:info@fisa.be,http://www.fisa.be/
Groupe Spéléologique de Charleroi,Belgique,+32 495 94.22.85,mailto:,http://www.gsc-asbl.be/
Flanders Expo,Belgique,+32 (0)9 241 92 11,mailto:info@flandersexpo.be,http://www.flandersexpo.be/
Les Associations Réunies A.S.B.L.,Belgique,+32 (0)68 66.57.07,mailto:demomat@skynet.be,http://www.demomat.be/
ETRA (European Tyre Recycling Association),Belgique,+32 2 734 37 27,mailto:info@etra-eu.org,http://www.etra-eu.org/
VNU Exhibitions Europe,Pays-Bas,+31 (0)30 - 295 2700,mailto:info@vnuexhibitions.com,http://www.vnuexhibitions.com/
Conceptum!,Belgique,+32 (0)2.741.61.61/62/69,mailto:info@conceptum.eu,http://www.conceptum.eu/
Flanders Expo,Belgique,+32 (0)9 241 92 11,mailto:info@flandersexpo.be,http://www.flandersexpo.be/
Conceptum!,Belgique,+32 (0)2.741.61.61/62/69,mailto:info@conceptum.eu,http://www.conceptum.eu/
"Sofrexpo (Société Française d'Exposition)",France,+33 (0)6 64 38 10 62,mailto:,http://www.salon-artistes-animaliers.com/
FISA SA,Belgique,+32 2 663 14 00,mailto:info@fisa.be,http://www.fisa.be/
Artexis EasyFairs,Belgique,+32 (0)2 740 10 70,mailto:europe@easyfairs.com,http://www.artexiseasyfairs.com/
Affordable Art Fair,Royaume-Uni,+44 (0)20 8246 4848,mailto:enquiries@affordableartfair.com,http://www.affordableartfair.com/
Artexis EasyFairs,Belgique,+32 (0)2 740 10 70,mailto:europe@easyfairs.com,http://www.artexiseasyfairs.com/
Kortrijk Expo,Belgique,+32 (0)56 24 11 11,mailto:info@kortrijkxpo.be,http://www.kortrijkxpo.be/
Charleroi Expo Congrès,Belgique,+32 (0)71 20 99 61,mailto:contact@charleroiexpo.be,http://www.charleroiexpo.be/
i-one,Belgique,+32 (0)2 790 27 47,mailto:administration@i-one.be,http://www.i-one.be/
FISA SA,Belgique,+32 2 663 14 00,mailto:info@fisa.be,http://www.fisa.be/
CDC Events,Belgique,,mailto:info@babydays.be,http://www.babydays.be/
Boekenfestijn,Pays-Bas,+31 (0)30 604 74 00,mailto:info@boekenfestijn.com,http://www.boekenfestijn.com/
Mons-Expo,Belgique,+32 (0) 65 39 94 94,mailto:info@monsexpo.be,http://www.monsexpo.be/
Kortrijk Expo,Belgique,+32 (0)56 24 11 11,mailto:info@kortrijkxpo.be,http://www.kortrijkxpo.be/
Bois & Habitat a.s.b.l.,Belgique,+32.(0) 81 32 19 20,mailto:info@bois-habitat.com,http://www.bois-habitat.com/
CDC Events,Belgique,,mailto:info@babydays.be,http://www.babydays.be/
Artexis EasyFairs,Belgique,+32 (0)2 740 10 70,mailto:europe@easyfairs.com,http://www.artexiseasyfairs.com/
Artexis Group,Belgique,+32 (0)9 241 92 11,mailto:info@artexis.com,http://www.artexis.be/
Fondation Interieur,Belgique,+32 (0)56 22 95 22,mailto:interieur@interieur.be,http://www.interieur.be/
Dentex International S.C,Belgique,+32 (0)2 478 43 83,mailto:info@dentex.be,http://www.dentex.be/
Asbl Orga Expo,Belgique,+32 069 25 71 11,mailto:tournai.expo@skynet.be,http://www.tournai-expo.be/
Flanders Expo,Belgique,+32 (0)9 241 92 11,mailto:info@flandersexpo.be,http://www.flandersexpo.be/
Libramont Exhibition & Congress,Belgique,+32 (0) 6123 0404,mailto:info@libramont-exhibition.com,http://www.libramont-exhibition.com/
Flanders Expo,Belgique,+32 (0)9 241 92 11,mailto:info@flandersexpo.be,http://www.flandersexpo.be/
Delfico bvba,Belgique,+32 (0)9 385.77.19,mailto:info@intersolution.be,http://www.intersolution.be/
